Monthly searches,When I search for...,Then I...,see...,in the top ... results
"2,500",dla,should,https://www.gov.uk/pip,3
"2,500",dvla,should,https://www.gov.uk/contact-the-dvla,3
"2,500",dvla,should,https://www.gov.uk/get-vehicle-information-from-dvla,3
"2,500",gateway,should,https://www.gov.uk/government-gateway,1
"2,500",government gateway,should,https://www.gov.uk/government-gateway,1
"2,500",housing benefit,should,https://www.gov.uk/housing-benefit,3
"2,500",minimum wage,should,https://www.gov.uk/your-right-to-minimum-wage,3
"2,500",tax disc,should,https://www.gov.uk/tax-disc,2
"2,500",v62,should,https://www.gov.uk/vehicle-registration-certificate-v5c-log-book,3
"2,000",attendance allowance,should,https://www.gov.uk/benefits-adviser,10
"2,000",blue badge,should,https://www.gov.uk/apply-blue-badge,3
"2,000",blue badge,should,https://www.gov.uk/blue-badge-scheme-information-council,5
"2,000",car tax,should,https://www.gov.uk/tax-disc,2
"2,000",carers allowance,should,https://www.gov.uk/benefits-adviser,10
"2,000",child benefit,should,https://www.gov.uk/benefits-adviser,10
"2,000",child benefit,should,https://www.gov.uk/child-benefit,3
"2,000",csa,should,https://www.gov.uk/child-maintenance,3
"2,000",dla,should,https://www.gov.uk/benefits-adviser,10
"2,000",grants,should,https://www.gov.uk/apply-for-student-finance,5
"2,000",housing benefit,should,https://www.gov.uk/benefits-adviser,10
"2,000",job seekers allowance,should,https://www.gov.uk/benefits-adviser,10
"2,000",job seekers allowance,should,https://www.gov.uk/jobsearch,5
"2,000",job seekers allowance,should,https://www.gov.uk/jobseekers-allowance,3
"2,000",maternity allowance,should,https://www.gov.uk/maternity-allowance,3
"2,000",maternity allowance,should,https://www.gov.uk/maternity-benefits,3
"2,000",mot,should,https://www.gov.uk/check-mot-status-vehicle,3
"2,000",mot,should,https://www.gov.uk/getting-an-mot,3
"2,000",national insurance,should,https://www.gov.uk/national-insurance,3
"2,000",national insurance,should,https://www.gov.uk/national-insurance-contributions-for-employers,5
"2,000",passports,should,https://www.gov.uk/renew-adult-passport,3
"2,000",passports,should,https://www.gov.uk/get-a-child-passport,3
"2,000",passports,should,https://www.gov.uk/apply-first-adult-passport,3
"1,500",advertise a job,should,https://www.gov.uk/advertise-job,1
"1,500",bank holidays,should,https://www.gov.uk/bank-holidays,1
"1,500",budgeting loan,should,https://www.gov.uk/budgeting-loans,3
"1,500",christmas payments,should,https://www.gov.uk/how-to-have-your-benefits-paid,3
"1,500",christmas payments,should,https://www.gov.uk/when-is-your-next-tax-credits-payment,3
"1,500",community care grant,should,https://www.gov.uk/community-care-grant,3
"1,500",contact number,should,https://www.gov.uk/contact-jobcentre-plus,5
"1,500",contact number,should,,
"1,500",divorce,should,https://www.gov.uk/divorce,3
"1,500",forms,should,https://www.gov.uk/apply-for-tax-disc-refund-form-v14,5
"1,500",forms,should,,
"1,500",gl24,should,https://www.gov.uk/appeal-benefit,1
"1,500",job seekers,should,https://www.gov.uk/jobsearch,5
"1,500",job seekers,should,https://www.gov.uk/jobseekers-allowance,3
"1,500",jobseekers,should,https://www.gov.uk/jobsearch,5
"1,500",jobseekers,should,https://www.gov.uk/jobseekers-allowance,3
"1,500",jobseekers allowance,should,https://www.gov.uk/benefits-adviser,5
"1,500",jobseekers allowance,should,https://www.gov.uk/benefits-adviser,10
"1,500",jobseekers allowance,should,https://www.gov.uk/jobsearch,5
"1,500",jobseekers allowance,should,https://www.gov.uk/jobseekers-allowance,3
"1,500",loans,should,https://www.gov.uk/apply-for-student-finance,5
"1,500",loans,should,https://www.gov.uk/budgeting-loans,5
"1,500",log in,should,https://www.gov.uk/student-finance-register-login,3
"1,500",log in,should not,https://www.gov.uk/vehicle-registration-certificate-v5c-log-book,5
"1,500",maternity allowance,should,https://www.gov.uk/benefits-adviser,10
"1,500",maternity leave,should,https://www.gov.uk/employee-rights-when-on-leave,5
"1,500",maternity leave,should,https://www.gov.uk/maternity-leave,3
"1,500",maternity leave,should,https://www.gov.uk/maternity-leave-pay-employees,5
"1,500",maternity leave,should,https://www.gov.uk/plan-maternity-leave,3
"1,500",maternity leave,should not,https://www.gov.uk/file-changes-to-a-company-with-companies-house,20
"1,500",maternity leave,should not,https://www.gov.uk/know-when-you-can-leave-school,20
"1,500",maternity leave,should not,https://www.gov.uk/leaving-prison/when-someone-can-leave-prison,20
"1,500",maternity pay,should,https://www.gov.uk/benefits-adviser,10
"1,500",maternity pay,should,https://www.gov.uk/maternity-benefits,3
"1,500",maternity pay,should,https://www.gov.uk/maternity-leave-pay-employees,5
"1,500",maternity pay,should,https://www.gov.uk/statutory-maternity-pay,3
"1,500",national insurance number,should,https://www.gov.uk/national-insurance,3
"1,500",sick pay,should,https://www.gov.uk/benefits-adviser,10
"1,500",sick pay,should,https://www.gov.uk/sick-leave-pay-employees,5
"1,500",sick pay,should,https://www.gov.uk/statutory-sick-pay,3
"1,500",social fund,should,https://www.gov.uk/budgeting-loans,5
"1,500",ssp,should,https://www.gov.uk/benefits-adviser,10
"1,500",ssp,should,https://www.gov.uk/sick-leave-pay-employees,5
"1,500",ssp,should,https://www.gov.uk/statutory-sick-pay,3
"1,500",tax credits,should,https://www.gov.uk/benefits-adviser,5
"1,500",tax credits,should,https://www.gov.uk/claim-tax-credits,3
"1,500",universal credit,should,https://www.gov.uk/universal-credit,1
"1,500",universal job match,should,https://www.gov.uk/jobsearch,1
"1,500",working tax credit,should,https://www.gov.uk/benefits-adviser,10
"1,500",working tax credit,should,https://www.gov.uk/working-tax-credit,3
"1,000",bedroom tax,should,https://www.gov.uk/housing-benefit,1
"1,000",benefits,should,https://www.gov.uk/benefits-adviser,3
"1,000",benefits,should not,https://www.gov.uk/incapacity-benefit,10
"1,000",bus pass,should,https://www.gov.uk/apply-for-disabled-bus-pass,3
"1,000",bus pass,should,https://www.gov.uk/apply-for-elderly-person-bus-pass,3
"1,000",change address,should,https://www.gov.uk/change-address-driving-licence,5
"1,000",change address,should,https://www.gov.uk/change-name-address-vehicle-reg-certificate-v5c,5
"1,000",change address,should,https://www.gov.uk/tell-hmrc-about-a-change-of-name-or-address,5
"1,000",childcare,should,https://www.gov.uk/childcare-tax-credits,3
"1,000",childcare,should,https://www.gov.uk/childcare-vouchers-better-off-calculator,3
"1,000",childcare,should,https://www.gov.uk/help-with-childcare-costs,5
"1,000",cleaner,should,https://www.gov.uk/jobsearch,3
"1,000",cold weather,should,https://www.gov.uk/cold-weather-payment,1
"1,000",contact us,should,,
"1,000",crisis loans,should,https://www.gov.uk/budgeting-loans,5
"1,000",crisis loans,should,https://www.gov.uk/crisis-loans,3
"1,000",d1,should,https://www.gov.uk/claiming-driving-test-pass,5
"1,000",d1,should,https://www.gov.uk/exchange-paper-driving-licence-photocard-licence,5
"1,000",driving licence,should,https://www.gov.uk/apply-first-provisional-driving-licence,5
"1,000",driving licence,should,https://www.gov.uk/apply-online-to-replace-a-driving-licence,5
"1,000",driving licence,should,https://www.gov.uk/change-address-driving-licence,5
"1,000",driving licence,should,https://www.gov.uk/change-photo-driving-licence,5
"1,000",driving licence,should not,https://www.gov.uk/licence-finder,5
"1,000",ehic,should,http://www.nhs.uk/ehic,
"1,000",green deal,should,https://www.gov.uk/green-deal-energy-saving-measures,1
"1,000",holiday entitlement,should,https://www.gov.uk/calculate-your-holiday-entitlement,3
"1,000",holiday entitlement,should,https://www.gov.uk/holiday-entitlement-rights,3
"1,000",incapacity benefit,should,https://www.gov.uk/benefits-adviser,10
"1,000",incapacity benefit,should,https://www.gov.uk/incapacity-benefit,3
"1,000",job centre,should,https://www.gov.uk/jobsearch,5
"1,000",login,should,https://www.gov.uk/student-finance-register-login,3
"1,000",paternity leave,should,https://www.gov.uk/additional-paternity-leave-pay-employees,5
"1,000",paternity leave,should,https://www.gov.uk/paternity-leave-pay-employees,5
"1,000",paternity leave,should,https://www.gov.uk/paternityleave,3
"1,000",paternity leave,should,https://www.gov.uk/plan-paternity-leave,3
"1,000",pension forecast,should,https://www.gov.uk/plan-retirement-income,5
"1,000",pension forecast,should,https://www.gov.uk/state-pension-statement,1
"1,000",road tax,should,https://www.gov.uk/tax-disc,3
"1,000",self employed,should,https://www.gov.uk/employment-status,5
"1,000",self employed,should,https://www.gov.uk/register-for-self-assessment,5
"1,000",self employed,should,https://www.gov.uk/self-employed-national-insurance-rates,10
"1,000",self employed,should,https://www.gov.uk/set-up-sole-trader,3
"1,000",self employed,should,https://www.gov.uk/starting-up-a-business,3
"1,000",smp,should,https://www.gov.uk/maternity-leave-pay-employees,5
"1,000",smp,should,https://www.gov.uk/statutory-maternity-pay,3
"1,000",tax,should,https://www.gov.uk/income-tax,3
"1,000",tax,should,https://www.gov.uk/tax-codes,3
"1,000",theory,should,,
"1,000",tupe,should,,
"1,000",v5c,should,https://www.gov.uk/vehicle-registration-certificate-v5c-log-book,3
"1,000",vacancies,should,https://www.gov.uk/jobsearch,3
"1,000",widows pension,should,https://www.gov.uk/benefits-adviser,10
"1,000",winter fuel,should,https://www.gov.uk/cold-weather-payment,5
"1,000",winter fuel,should,https://www.gov.uk/warm-front-scheme,5
"1,000",winter fuel,should,https://www.gov.uk/winter-fuel-payment,3
"1,000",working tax credits,should,https://www.gov.uk/benefits-adviser,10
"1,000",working tax credits,should,https://www.gov.uk/working-tax-credit,3
900,all jobs,should,https://www.gov.uk/jobsearch,3
900,apprenticeships,should,https://www.gov.uk/apply-apprenticeship,3
900,apprenticeships,should,https://www.gov.uk/apprenticeships-guide,3
900,cpc,should,https://www.gov.uk/check-your-driver-cpc-periodic-training-hours,3
900,cpc,should,https://www.gov.uk/driver-certificate-of-professional-competence-cpc,3
900,dbs,should,https://www.gov.uk/disclosure-barring-service-check,2
900,find a job,should,https://www.gov.uk/jobsearch,2
900,google,should,,
900,job centre,should,https://www.gov.uk/benefits-adviser,10
900,job vacancies,should,https://www.gov.uk/jobsearch,2
900,pension credits,should,https://www.gov.uk/pension-credit,3
900,pension credits,should,https://www.gov.uk/pension-credit-calculator,3
900,register,should,,
900,retail,should,https://www.gov.uk/jobsearch,3
900,taxdisc,should,https://www.gov.uk/tax-disc,2
900,v10,should,,
900,v14,should,,
900,visa,should,https://www.gov.uk/check-an-employees-right-to-work-documents,5
900,visa,should,https://www.gov.uk/uk-visa,3
900,visa,should,https://www.gov.uk/uk-visa-sponsorship-employers,5
900,visa,should not,https://www.gov.uk/apply-first-provisional-driving-licence,5
900,visa,should not,https://www.gov.uk/change-photo-driving-licence,5
900,visa,should not,https://www.gov.uk/exchange-paper-driving-licence-photocard-licence,5
900,winter fuel allowance,should,https://www.gov.uk/cold-weather-payment,5
900,winter fuel allowance,should,https://www.gov.uk/warm-front-scheme,5
900,winter fuel allowance,should,https://www.gov.uk/winter-fuel-payment,3
900,winter fuel payment,should,https://www.gov.uk/cold-weather-payment,5
900,winter fuel payment,should,https://www.gov.uk/warm-front-scheme,5
900,winter fuel payment,should,https://www.gov.uk/winter-fuel-payment,3
800,benefits adviser,should,https://www.gov.uk/benefits-adviser,1
800,child tax credit,should,https://www.gov.uk/benefits-adviser,10
800,child tax credit,should,https://www.gov.uk/child-tax-credit,3
800,dsa,should,https://www.gov.uk/disabled-students-allowances-dsas,3
800,employment and support allowance,should,https://www.gov.uk/benefits-adviser,10
800,employment and support allowance,should,https://www.gov.uk/employment-support-allowance,3
800,export control,should,https://www.gov.uk/apply-strategic-export-licence-spire,3
800,flexible working,should,https://www.gov.uk/flexible-working,
800,health,should,http://www.nhs.uk/,
800,holiday pay,should,https://www.gov.uk/calculate-your-holiday-entitlement,3
800,holiday pay,should,https://www.gov.uk/holiday-entitlement-rights,3
800,phone number,should,,
800,v317,should,https://www.gov.uk/transferring-vehicle-registration-number-form-v317,3
800,vat,should,https://www.gov.uk/vat,3
800,vat,should,https://www.gov.uk/vat-businesses,5
800,vat,should,https://www.gov.uk/vat-rates,3
800,vat,should,https://www.gov.uk/vat-registration,5
700,benefit cap,should,https://www.gov.uk/benefit-cap,3
700,disability living allowance,should,https://www.gov.uk/benefits-adviser,10
700,disability living allowance,should,https://www.gov.uk/disability-living-allowance-dla-rates,3
700,disability living allowance,should,https://www.gov.uk/dla-disability-living-allowance-benefit,3
700,holiday,should,https://www.gov.uk/calculate-your-holiday-entitlement,3
700,holiday,should,https://www.gov.uk/holiday-entitlement-rights,3
700,holidays,should,https://www.gov.uk/calculate-your-holiday-entitlement,3
700,holidays,should,https://www.gov.uk/holiday-entitlement-rights,3
700,maternity grant,should,https://www.gov.uk/sure-start-maternity-grant,3
700,paternity,should,,
700,pip,should,https://www.gov.uk/pip,3
700,power of attorney,should,https://www.gov.uk/become-deputy,5
700,power of attorney,should,https://www.gov.uk/find-someones-attorney-or-deputy,5
700,power of attorney,should,https://www.gov.uk/power-of-attorney,3
700,power of attorney,should,https://www.gov.uk/report-concern-about-attorney-deputy,10
700,power of attorney,should not,https://www.gov.uk/apply-for-a-patent,10
700,power of attorney,should not,https://www.gov.uk/mobility-scooters-and-powered-wheelchairs-rules,10
700,power of attorney,should not,https://www.gov.uk/planning-permission-england-wales,10
700,power of attorney,should not,https://www.gov.uk/police-powers-of-arrest-your-rights,10
700,power of attorney,should not,https://www.gov.uk/police-powers-to-stop-and-search-your-rights,10
700,statutory sick pay,should,https://www.gov.uk/benefits-adviser,10
700,statutory sick pay,should,https://www.gov.uk/sick-leave-pay-employees,5
700,statutory sick pay,should,https://www.gov.uk/statutory-sick-pay,3
700,warehouse,should,https://www.gov.uk/jobsearch,3
600,budgeting loans,should,https://www.gov.uk/budgeting-loans,3
600,business link,should,https://www.gov.uk/business-support-helpline,3
600,careers,should,https://www.gov.uk/careers-helpline-for-teenagers,
600,carers,should,https://www.gov.uk/carers-allowance,5
600,driving,should,https://www.gov.uk/apply-first-provisional-driving-licence,5
600,driving,should,https://www.gov.uk/book-a-driving-theory-test,5
600,dwp,should,,
600,employment support allowance,should,https://www.gov.uk/benefits-adviser,10
600,employment support allowance,should,https://www.gov.uk/employment-support-allowance,3
600,health and safety,should,https://www.gov.uk/health-and-safety-executive,3
600,health and safety,should not,https://www.gov.uk/health-and-safety-on-ships,1
600,hmrc,should,,
600,job centre plus,should,,
600,jobcentre,should,https://www.gov.uk/benefits-adviser,10
600,jobcentre,should,https://www.gov.uk/jobsearch,5
600,jobcentre plus,should,https://www.gov.uk/jobsearch,3
600,jobmatch,should,,
600,journey planner,should,,
600,legal aid,should,https://www.gov.uk/legal-aid,3
600,lha,should,https://www.gov.uk/housing-benefit,3
600,national minimum wage,should,https://www.gov.uk/your-right-to-minimum-wage,3
600,parental leave,should,https://www.gov.uk/parental-leave,1
600,passport renewal,should,https://www.gov.uk/renew-adult-passport,3
600,practical driving test,should,https://www.gov.uk/book-practical-driving-test,3
600,practical driving test,should,https://www.gov.uk/practical-driving-test-for-cars,5
600,practical driving test,should not,https://www.gov.uk/dsa-practical-test-booking-data-protection,5
600,practical test,should,https://www.gov.uk/book-practical-driving-test,3
600,practical test,should,https://www.gov.uk/practical-driving-test-for-cars,5
600,practical test,should not,https://www.gov.uk/dsa-practical-test-booking-data-protection,5
600,probate,should,https://www.gov.uk/inheritance-tax,10
600,probate,should,https://www.gov.uk/valuing-estate-of-someone-who-died,5
600,probate,should,https://www.gov.uk/wills-probate-inheritance,3
600,probate,should not,https://www.gov.uk/guide-to-probation,10
600,probate,should not,https://www.gov.uk/leaving-prison,10
600,probate,should not,https://www.gov.uk/nominate-community-payback-project,10
600,probate,should not,https://www.gov.uk/youth-offending-team,10
600,provisional,should,https://www.gov.uk/apply-first-provisional-driving-licence,3
600,self employment,should,https://www.gov.uk/employment-status,10
600,self employment,should,https://www.gov.uk/register-for-self-assessment,5
600,self employment,should,https://www.gov.uk/self-employed-national-insurance-rates,10
600,self employment,should,https://www.gov.uk/set-up-sole-trader,3
600,self employment,should,https://www.gov.uk/starting-up-a-business,3
600,v5,should,,
500,address,should,,
500,advertise job,should,https://www.gov.uk/advertise-job,1
500,appeals,should,https://www.gov.uk/appeal-benefit,3
500,book driving test,should,https://www.gov.uk/book-a-driving-theory-test,3
500,book driving test,should,https://www.gov.uk/book-practical-driving-test,3
500,book theory test,should,https://www.gov.uk/book-a-driving-theory-test,3
500,book theory test,should,https://www.gov.uk/book-your-instructor-theory-test,5
500,breaks,should,,
500,business plan,should,https://www.gov.uk/write-business-plan,1
500,child maintenance,should,https://www.gov.uk/arranging-child-maintenance-yourself,5
500,child maintenance,should,https://www.gov.uk/calculate-your-child-maintenance,5
500,child maintenance,should,https://www.gov.uk/child-maintenance,5
500,cleaning,should,https://www.gov.uk/jobsearch,3
500,complaints,should,,
500,contact numbers,should,https://www.gov.uk/contact-jobcentre-plus,5
500,council tax benefit,should,https://www.gov.uk/apply-council-tax-benefit,3
500,council tax benefit,should,https://www.gov.uk/benefits-adviser,10
500,council tax benefit,should,https://www.gov.uk/council-tax-benefit,3
500,data protection,should,,
500,driving license,should,https://www.gov.uk/apply-first-provisional-driving-licence,5
500,driving license,should,https://www.gov.uk/apply-online-to-replace-a-driving-licence,5
500,driving license,should,https://www.gov.uk/change-address-driving-licence,5
500,driving license,should,https://www.gov.uk/change-photo-driving-licence,5
500,driving license,should not,https://www.gov.uk/licence-finder,5
500,employment,should,,
500,fire,should,https://www.gov.uk/financial-help-after-fire,3
500,fire,should,https://www.gov.uk/workplace-fire-safety-your-responsibilities,3
500,fire safety,should,https://www.gov.uk/financial-help-after-fire,3
500,fire safety,should,https://www.gov.uk/workplace-fire-safety-your-responsibilities,3
500,goverment gateway,should,https://www.gov.uk/government-gateway,1
500,hs2,should,https://www.gov.uk/hs2-phase-two-initial-preferred-route-plan-and-profile-maps,3
500,loan,should,,
500,local housing allowance,should,,
500,lost passport,should,https://www.gov.uk/report-a-lost-or-stolen-passport,3
500,passport fees,should,https://www.gov.uk/passport-fees,3
500,paternity pay,should,https://www.gov.uk/benefits-adviser,10
500,pension age,should,https://www.gov.uk/calculate-state-pension,
500,pregnancy,should,,
500,redundancy calculator,should,https://www.gov.uk/calculate-employee-redundancy-pay,3
500,redundancy calculator,should,https://www.gov.uk/calculate-your-redundancy-pay,3
500,retirement,should,,
500,retirement age,should,,
500,self assessment,should,https://www.gov.uk/file-your-self-assessment-tax-return,5
500,self assessment,should,https://www.gov.uk/how-to-send-self-assessment-online,5
500,self assessment,should,https://www.gov.uk/self-assessment-tax-returns,3
500,sign in,should,,
500,state pension age,should,https://www.gov.uk/calculate-state-pension,3
500,student loan,should,https://www.gov.uk/apply-for-student-finance,3
400,bank holiday,should,https://www.gov.uk/bank-holidays,1
400,benefit calculator,should,https://www.gov.uk/benefits-adviser,3
400,benefits advisor,should,https://www.gov.uk/benefits-adviser,1
400,bereavement,should,https://www.gov.uk/after-a-death,5
400,bereavement,should not,https://www.gov.uk/calculate-your-child-maintenance,10
400,bereavement,should not,https://www.gov.uk/maternity-allowance,10
400,bereavement,should not,https://www.gov.uk/voluntary-national-insurance-contributions,10
400,birth certificate,should,https://www.gov.uk/order-copy-birth-death-marriage-certificate,3
400,birth certificate,should,https://www.gov.uk/register-offices,5
400,business rates,should,https://www.gov.uk/introduction-to-business-rates,3
400,business rates,should,https://www.gov.uk/introduction-to-business-rates,3
400,business rates,should not,https://www.gov.uk/benefits-adviser,5
400,child support,should,https://www.gov.uk/arranging-child-maintenance-yourself,5
400,child support,should,https://www.gov.uk/calculate-your-child-maintenance,5
400,child support,should,https://www.gov.uk/child-maintenance,5
400,child tax credits,should,https://www.gov.uk/benefits-adviser,10
400,child tax credits,should,https://www.gov.uk/child-tax-credit,3
400,death,should,https://www.gov.uk/after-a-death,3
400,death,should,https://www.gov.uk/bereavement-allowance,10
400,death,should,https://www.gov.uk/bereavement-payment,10
400,death,should,https://www.gov.uk/find-bereavement-services-from-council,10
400,death,should,https://www.gov.uk/find-persons-will,10
400,death,should,https://www.gov.uk/order-copy-birth-death-marriage-certificate,10
400,death,should,https://www.gov.uk/wills-probate-inheritance,5
400,death,should not,https://www.gov.uk/get-birthday-anniversary-message-from-queen,20
400,heating allowance,should,https://www.gov.uk/cold-weather-payment,5
400,heating allowance,should,https://www.gov.uk/warm-front-scheme,5
400,heating allowance,should,https://www.gov.uk/winter-fuel-payment,3
400,help desk,should,,
400,housing,should,https://www.gov.uk/council-housing,5
400,housing,should,https://www.gov.uk/housing-benefit,5
400,housing,should not,https://www.gov.uk/file-an-annual-return-with-companies-house,10
400,housing,should not,https://www.gov.uk/file-changes-to-a-company-with-companies-house,10
400,housing benefits,should,https://www.gov.uk/benefits-adviser,10
400,housing benefits,should,https://www.gov.uk/housing-benefit,3
400,income tax,should,https://www.gov.uk/income-tax,3
400,income tax,should,https://www.gov.uk/income-tax-rates,3
400,new claim,should,,
400,new enterprise allowance,should,https://www.gov.uk/moving-from-benefits-to-work,3
400,planning,should,https://www.gov.uk/planning-permission-england-wales,5
400,planning,should,https://www.gov.uk/search-register-planning-decisions,5
400,provisional licence,should,https://www.gov.uk/apply-first-provisional-driving-licence,3
400,redundancy pay,should,https://www.gov.uk/calculate-employee-redundancy-pay,5
400,redundancy pay,should,https://www.gov.uk/calculate-your-redundancy-pay,3
400,renew driving licence,should,,
400,right to buy,should,https://www.gov.uk/find-out-about-right-to-buy-from-your-council,3
400,sickness,should,https://www.gov.uk/sick-leave-pay-employees,5
400,sickness,should,https://www.gov.uk/statutory-sick-pay,3
400,student,should,https://www.gov.uk/apply-for-student-finance,3
400,student,should,https://www.gov.uk/student-finance-calculator,3
400,student,should,https://www.gov.uk/student-finance-register-login,3
400,student loans,should,https://www.gov.uk/apply-for-student-finance,3
400,tax credit,should,https://www.gov.uk/benefits-adviser,5
400,tax credit,should,https://www.gov.uk/claim-tax-credits,3
400,tell us once,should,,
400,travel,should,https://www.gov.uk/plan-your-journey,5
400,vehicle enquiry,should,https://www.gov.uk/vehicle-identity-check,3
300,annual leave,should,https://www.gov.uk/calculate-your-holiday-entitlement,3
300,annual leave,should,https://www.gov.uk/holiday-entitlement-rights,3
300,bank holiday payments,should,https://www.gov.uk/how-to-have-your-benefits-paid,3
300,bank holiday payments,should,https://www.gov.uk/when-is-your-next-tax-credits-payment,3
300,benefit fraud,should,https://www.gov.uk/benefit-fraud,3
300,benefit fraud,should,https://www.gov.uk/report-benefit-fraud,3
300,benefit fraud,should not,https://www.gov.uk/incapacity-benefit,10
300,benefits calculator,should,https://www.gov.uk/benefits-adviser,3
300,child support agency,should,https://www.gov.uk/child-maintenance,3
300,childcare vouchers,should,https://www.gov.uk/childcare-vouchers-better-off-calculator,3
300,council tax bands,should,https://www.gov.uk/council-tax,3
300,council tax bands,should,https://www.gov.uk/council-tax-bands,3
300,help to buy,should,https://www.gov.uk/affordable-home-ownership-schemes,1
300,jobcentreplus,should,https://www.gov.uk/jobsearch,3
300,marriage,should,https://www.gov.uk/marriages-civil-partnerships,3
300,marriage,should,https://www.gov.uk/order-copy-birth-death-marriage-certificate,5
300,mot check,should,https://www.gov.uk/check-mot-status-vehicle,3
300,passport application,should,https://www.gov.uk/apply-renew-passport,3
300,paye,should,https://www.gov.uk/income-tax,5
300,paye,should,https://www.gov.uk/paye-forms-p45-p46-p60-p11d,5
300,sickness benefit,should,https://www.gov.uk/sick-leave-pay-employees,5
300,sickness benefit,should,https://www.gov.uk/statutory-sick-pay,3
300,stamp duty,should,https://www.gov.uk/buy-sell-your-home,5
300,stamp duty,should,https://www.gov.uk/stamp-duty-land-tax-rates,3
300,statutory maternity pay,should,https://www.gov.uk/benefits-adviser,10
300,tax return,should,,
300,vehicle check,should,https://www.gov.uk/apply-for-a-vehicle-identity-check-vic,3
300,vehicle check,should,https://www.gov.uk/vehicle-identity-check,3
300,vehicle check,should not,https://www.gov.uk/employers-checks-job-applicants,10
300,warm front,should,https://www.gov.uk/warm-front-scheme,3
